type,source,english,chinese,comment
配方卡名,合Ｃ：シナプス,,合Ｃ：神经元,
配方卡名,合Ｃ：細胞,,合Ｃ：细胞,
配方卡名,合Ｃ：万物の原初,,合Ｃ：万物的原初,
配方卡名,合Ｃ：整流器,,合Ｃ：整流器,
配方卡名,合Ｃ：プラグ,,合Ｃ：火花塞,
配方卡名,合Ｃ：グラスノ盤,,合Ｃ：葛拉斯诺盘,
配方卡名,合Ｃ：カイフクンＣ,,合Ｃ：恢复君C,
配方卡名,合Ｃ：強いくすり,,合Ｃ：强效药,
配方卡名,合Ｃ：強力なくすり,,合Ｃ：特效药,
配方卡名,合Ｃ：最強のくすり,,合Ｃ：最强的药,
配方卡名,合Ｃ：しろいこな,,合Ｃ：白色粉末,
配方卡名,合Ｃ：復活機,,合Ｃ：复活机,
配方卡名,合Ｃ：メッソー,,合Ｃ：导弹,
配方卡名,合Ｃ：エアウイング,,合Ｃ：气翼,
配方卡名,合Ｃ：電気ばくだん,,合Ｃ：电击炸弹,
配方卡名,合Ｃ：あやしい液体,,合Ｃ：奇怪的液体,
配方卡名,合Ｃ：大ばくだん,,合Ｃ：大炸弹,
配方卡名,合Ｃ：ブタ,,合Ｃ：猪,
配方卡名,合Ｃ：たいこ,,合Ｃ：太鼓,
配方卡名,合Ｃ：超文明の遺産,,合Ｃ：超文明遗产,
配方卡名,合Ｃ：トランキリティ,,合Ｃ：宁静晶体,
配方卡名,合Ｃ：青い薬剤Ａ,,合Ｃ：蓝色药剂A,
配方卡名,合Ｃ：黄色い薬剤Ａ,,合Ｃ：黄色药剂A,
配方卡名,合Ｃ：赤い薬剤Ａ,,合Ｃ：红色药剂A,
配方卡名,合Ｃ：青い薬剤Ｂ,,合Ｃ：蓝色药剂B,
配方卡名,合Ｃ：黄色い薬剤Ｂ,,合Ｃ：黄色药剂B,
配方卡名,合Ｃ：赤い薬剤Ｂ,,合Ｃ：红色药剂B,
配方卡名,合Ｃ：かわいい小瓶,,合Ｃ：可爱的小瓶子,
配方卡名,合Ｃ：バッテリー,,合Ｃ：储能装置,
配方卡名,合Ｃ：かんづめ,,合Ｃ：罐头,
配方卡名,合Ｃ：たてぶえ,,合Ｃ：竖笛,
配方卡名,合Ｃ：ＭＰ回復機,,合Ｃ：MP回复机,
配方卡名,合Ｃ：共振増幅器,,合Ｃ：共振增幅器,
配方卡名,合Ｃ：棺,,合Ｃ：棺木,
配方卡名,合Ｃ：休息装置,,合Ｃ：休息装置,
配方卡名,合C：塔,,合Ｃ：塔,
配方卡名,合Ｃ：ドッコイパヘ,,合Ｃ：超赞芭菲,
配方卡名,合Ｃ：大自然アイス,,合Ｃ：大自然刨冰,
配方卡名,合Ｃ：超自然アイス,,合Ｃ：超自然刨冰,
配方卡名,合Ｃ：焼肉ソーダ,,合Ｃ：烤肉苏打水,
配方卡名,合Ｃ：ソリッドうさこ,,合Ｃ：固态兔,
配方卡名,合Ｃ：うさライス,,合Ｃ：兔子饭,
配方卡名,合Ｃ：めかうさ,,合Ｃ：超级兔子,
配方卡名,合Ｃ：カプリソーダ,,合Ｃ：卡普里苏打水,
配方卡名,合Ｃ：メシジュース,,合Ｃ：饭汁,
配方卡名,合Ｃ：ソード１,,合Ｃ：剑1,
配方卡名,合Ｃ：スピア１,,合Ｃ：矛1,
配方卡名,合Ｃ：銃１,,合Ｃ：枪1,
配方卡名,合Ｃ：チェーン１,,合Ｃ：锯1,
配方卡名,合Ｃ：カタナ１,,合Ｃ：刀1,
配方卡名,合Ｃ：ソード２,,合Ｃ：剑2,
配方卡名,合Ｃ：スピア２,,合Ｃ：矛2,
配方卡名,合Ｃ：銃２,,合Ｃ：枪2,
配方卡名,合Ｃ：チェーン２,,合Ｃ：锯2,
配方卡名,合Ｃ：カタナ２,,合Ｃ：刀2,
配方卡名,合Ｃ：ソード３,,合Ｃ：剑3,
配方卡名,合Ｃ：スピア３,,合Ｃ：矛3,
配方卡名,合Ｃ：銃３,,合Ｃ：枪3,
配方卡名,合Ｃ：チェーン３,,合Ｃ：锯3,
配方卡名,合Ｃ：ソード４,,合Ｃ：剑4,
配方卡名,合Ｃ：スピア４,,合Ｃ：矛4,
配方卡名,合Ｃ：銃４,,合Ｃ：枪4,
配方卡名,合Ｃ：チェーン４,,合Ｃ：锯4,
配方卡名,合Ｃ：超ブタ,,合Ｃ：超级武器,
配方卡名,合Ｃ：極超ウェポン,,合Ｃ：究级武器,
配方卡名,合Ｃ：よろいＡ,,合Ｃ：盔甲A,
配方卡名,合Ｃ：よろいＢ,,合Ｃ：盔甲B,
配方卡名,合Ｃ：ジャケット,,合Ｃ：外套,
配方卡名,合Ｃ：武者よろい,,合Ｃ：武士盔,
配方卡名,合Ｃ：ラクダ色,,合Ｃ：骆驼色,
配方卡名,合Ｃ：まるくび,,合Ｃ：圆领,
配方卡名,合Ｃ：ドレス,,合Ｃ：礼裙,
配方卡名,合Ｃ：フォーマル,,合Ｃ：正装,
配方卡名,合Ｃ：チャンバラ,,合Ｃ：剑斗服,
配方卡名,合Ｃ：ティアラ,,合Ｃ：头冠,
配方卡名,合Ｃ：王冠,,合Ｃ：王冠,
配方卡名,合Ｃ：光る指輪,,合Ｃ：闪亮的指环,
配方卡名,合Ｃ：黒い指輪,,合Ｃ：黑色指环,
配方卡名,合Ｃ：水晶,,合Ｃ：水晶,
配方卡名,合Ｃ：派手な指輪,,合Ｃ：华丽的指环,
配方卡名,合Ｃ：ぼうし,,合Ｃ：帽子,
配方卡名,合Ｃ：糸,,合Ｃ：线,
配方卡名,合Ｃ：八面体結晶,,合Ｃ：八面体晶体,
配方卡名,合Ｃ：ブースター,,合Ｃ：加速装置,
配方卡名,合Ｃ：白い指輪,,合Ｃ：白色指环,
配方卡名,合Ｃ：緑の指輪,,合Ｃ：绿色指环,
配方卡名,合Ｃ：カゴ,,合Ｃ：笼子,
配方卡名,合Ｃ：ランプ,,合Ｃ：提灯,
配方卡名,合Ｃ：ユーテリア弦,,合Ｃ：尤特利亚弦,
配方卡名,合Ｃ：サーキュラ,,合Ｃ：圆环,
物品命名（莱纳）,フォトングラス,Photon Glass,光子镜面,
物品命名（莱纳）,パワードビス,Powered Screw,强化螺丝,
物品命名（莱纳）,グラバード羅針盤,Gravard Compass,格拉巴特罗盘,
物品命名（莱纳）,カントの火箱,Kant's Firebox,坎特的火箱,
物品命名（莱纳）,研磨剤,Polishing Powder,研磨剂,
物品命名（莱纳）,ハーモナイザ,Harmonizer,谐调器,
物品命名（莱纳）,フランメルト磁石,Flanmelt Magnet,弗兰梅尔特磁石,
物品命名（莱纳）,石木栄養剤,Fertilizer,石木营养剂,
物品命名（莱纳）,大自然の綿,Natural Cotton,大自然之绵,
物品命名（莱纳）,アコルドナイト,Acordonite,阿克尔德奈特,
物品命名（莱纳）,つぎはぎな布,Patchwork Cloth,百衲布,
物品命名（莱纳）,どんすけ,Don Leon,昙助,
物品命名（莱纳）,フリッパー,Flipper,升力盘,
物品命名（莱纳）,ラムクラスタ,Ramcluster,冲击集束,
物品命名（莱纳）,シェアリングコア,Sharing Core,共享核心,
物品命名（莱纳）,海風のオカリナ,Ocean Breeze Ocarina,海风陶笛,
物品命名（莱纳）,三極式共鳴培養槽,Tripolar Incubator,三极式共鸣培养槽,
物品命名（莱纳）,高純度溶解炉,Pure Refining Furnace,高纯度熔炉,
物品命名（莱纳）,導力神経節,Symphonic Synapse,导力神经节,
物品命名（莱纳）,Ｄ３細胞,D3 Cell,D3细胞,
物品命名（莱纳）,マーキュリー素子,Mercury Element,水银元件,
物品命名（莱纳）,クオンタイズ,Quantize,量化器,
物品命名（莱纳）,導力プラグ,Symphonic Reactor,导力火花塞,
物品命名（莱纳）,ＤＨ化グラスノ盤,DH Altered Grathnode Disc,DH化葛拉斯诺盘,
物品命名（莱纳）,カイフクンＣ,Healy C,恢复君C,
物品命名（莱纳）,ゼンカインＤ,Fullhealin D,健康D,
物品命名（莱纳）,ヒールクラッカー,Heal Cracker,治疗响筒,
物品命名（莱纳）,レストアボム,Restore Bomb,恢复炸弹,
物品命名（莱纳）,トランキライザー,Tranquilizer,镇定剂,
物品命名（莱纳）,ボルトエンジェル,Bolt Angel,雷光天使,
物品命名（莱纳）,メッソー,Missile,导弹,
物品命名（莱纳）,バク風車,Baku Pinwheel,炸风车,
物品命名（莱纳）,ポルタポルタ,Boltapolta,电击瓶,
物品命名（莱纳）,電離化合液,Ionization Liquid,电离化合液,
物品命名（莱纳）,ポプコーンボム,Popcorn Bomb,爆米花炸弹,
物品命名（莱纳）,イナイイナイ,Peeka,瞧不见瞧不见,
物品命名（莱纳）,バー,Boo,当,
物品命名（莱纳）,インバートフック,Invert Hook,反向钩,
物品命名（莱纳）,トランキリティ,Tranquility,宁静晶体,
物品命名（莱纳）,アタラズ,Hitlezz,打不到,
物品命名（莱纳）,マモレーズ,Guardlezz,防不住,
物品命名（莱纳）,ドンビリズ,Quicklezz,动不了,
物品命名（莱纳）,ネオ・アタラズ,Neo Hitlezz,新·打不到,
物品命名（莱纳）,マモレーズ・ハイ,Guardlezz High,防不住·真,
物品命名（莱纳）,ドンビリズＲＸ,Quicklezz RX,动不了RX,
物品命名（莱纳）,夢追いの水,Dreamchaser Water,催眠之水,
物品命名（莱纳）,パワーソーサー,Power Sourcer,动力源,
物品命名（莱纳）,人魚のウタ缶,Siren's Canned Song,人鱼歌之罐,
物品命名（莱纳）,風斬りのタテ笛,Wind Scythe Flute,斩风竖笛,
物品命名（莱纳）,虚空トランスレイ,Void Trance Ray,虚空出神之光,
物品命名（莱纳）,零音反射式増幅器,Silent Reflect Amp,零音反射式增幅器,
物品命名（莱纳）,嘆きと喜びの棺,Coffin of Grief and Joy,悲喜之棺,
物品命名（莱纳）,リフレッシュコア,Refresh Core,恢复核心,
物品命名（莱纳）,アルトネリコ？,Ar tonelico?,阿尔托涅利科？,
物品命名（莱纳）,シエロセラミクス,Cieroceramics,天蓝陶瓷,
物品命名（莱纳）,グラスティフォン,Glastiphon,格拉斯蒂芬,
物品命名（莱纳）,ヴィヴァーチェ,Vivaci,活力,
物品命名（莱纳）,音速歯車,Sonic Gear,音速齿轮,
物品命名（莱纳）,朱雀＆青龍,Zetsuei & Zanmu,朱雀＆青龙,
物品命名（莱纳）,ユーフォルテシモ,Eufortissimo,真甚强音,
物品命名（莱纳）,インフェルノ,Inferno,烈焰,
物品命名（莱纳）,エストレーモ,Estremo,极意,
物品命名（莱纳）,電磁エンジン,Electromagnetic Engine,电磁引擎,
物品命名（莱纳）,絶影＆斬無,Suzaku & Seiryuu,绝影＆斩无,
物品命名（莱纳）,銀の謳い手,Silver Singer,银之歌者,
物品命名（莱纳）,エレメントスピア,Element Spear,元素之矛,
物品命名（莱纳）,ミゼンシャー,Misereen,噩兆信使,
物品命名（莱纳）,シャークギル,Sharkgill,鲨鳃,
物品命名（莱纳）,ＫＡＮＡＤＥ,KANADE,奏～,
物品命名（莱纳）,ドゥームスレイヤー,Doomslayer,灾厄使者,
物品命名（莱纳）,ヴァストラッド,Vahstrad,瓦斯特拉德,
物品命名（莱纳）,Ｊの憂鬱,J's Agony,J的忧郁,
物品命名（莱纳）,エバーソング,Eversong,常歌,
物品命名（莱纳）,エオリアの小夜曲,Eoria's Serenade,爱欧莉亚的小夜曲,
物品命名（莱纳）,エオリアの翼,Eoria's Wing,爱欧莉亚之翼,
物品命名（莱纳）,エレミアの守護神,Guardian of Elemia,埃雷米亚的守护神,
物品命名（莱纳）,エアメタルジャケ,Airmetal Jacket,空气金属外套,
物品命名（莱纳）,天上天下唯我独尊,IAMAWESOME,天上天下唯我独尊,
物品命名（莱纳）,褐色モモヒキ,Brown Tights,褐色保暖裤,
物品命名（莱纳）,熱血Ｔシャツ,Passion T-Shirt,热血T恤,
物品命名（莱纳）,せらうさドレス,Sailor Bunny Dress,兔水手礼裙,
物品命名（莱纳）,ヒゲダンスーツ,Higedance Suit,胡子舞西装,
物品命名（莱纳）,ブシドーアーマー,Bushido Armor,武士道铠甲,
物品命名（莱纳）,オペレッタ,Operetta,轻歌剧,
物品命名（莱纳）,グランドクラウン,Grand Crown,大皇冠,
物品命名（莱纳）,グラスノリング,Grathnode Ring,葛拉斯诺指环,
物品命名（莱纳）,パラメノリング,Parameno Ring,帕拉梅诺指环,
物品命名（莱纳）,星屑の涙,Stardust Tears,群星之泪,
物品命名（莱纳）,こじゅうとの指輪,Mother-in-Law's Ring,小姨的戒指,
物品命名（莱纳）,シャンプーハット,Shampoo Hat,香波帽,
物品命名（莱纳）,仲結いの糸,String of Binding,缘之线,
物品命名（莱纳）,アーデル結晶体,Ardel Crystal,阿戴尔结晶体,
物品命名（莱纳）,フィーバモーダー,Fever Modar,狂热马达,
物品命名（莱纳）,ホワイトリング,White Ring,白指环,
物品命名（莱纳）,グリンリング,Green Ring,绿指环,
物品命名（莱纳）,エアリエルのカゴ,Aerial Cage,爱丽儿之笼,
物品命名（莱纳）,太陽のランプ,Sun Lamp,太阳提灯,
物品命名（莱纳）,ユーテリア弦,Yuteria Strings,尤特利亚弦,
物品命名（莱纳）,相転換サーキュラ,,转相环,
物品命名（欧莉卡）,超凝縮ネジ,Super-Condensed Screw,超浓缩螺丝,
物品命名（欧莉卡）,チャッカリ着火箱,chakkari chakkabako,恰卡利点火箱,
物品命名（欧莉卡）,白い粉,White Powder,白粉,
物品命名（欧莉卡）,アフロンコットン,Afroncotton,爆炸头棉,
物品命名（欧莉卡）,ボンビー布,Ragged Cloth,破布,
物品命名（欧莉卡）,ベルベット,Velvet,天鹅绒,
物品命名（欧莉卡）,くすり,Medicine,药,
物品命名（欧莉卡）,強いくすり,Strong Medicine,厉害的药,
物品命名（欧莉卡）,パパン元気薬,"Booboom 
Energy 
Medicine",砰砰活力药,
物品命名（欧莉卡）,元気大爆薬,Healthy Explosive,活力大炸弹,
物品命名（欧莉卡）,サヨナラ麻痺毒,Goodbye Paralyzing Poison,再见麻痹毒,
物品命名（欧莉卡）,コンティニュー,Continue,继续,
物品命名（欧莉卡）,ポイバク,Tossboom,摔炸,
物品命名（欧莉卡）,扇風ばくだん,Fan Breeze Bomb,吹风炸弹,
物品命名（欧莉卡）,雷おこし,,雷粔籹,
物品命名（欧莉卡）,大惨事ばくだん,Catastrophic Bomb,大灾变炸弹,
物品命名（欧莉卡）,敵さんコチラ！,"Here, Mr. Enemy!",敌人看这里！,
物品命名（欧莉卡）,舌切りフック,Tongue-Cutting Hook,断舌钩,
物品命名（欧莉卡）,スカリーチョ,Easystrike,擦肩而过,
物品命名（欧莉卡）,マモレーニョ,Guardnone,防不住哟,
物品命名（欧莉卡）,トロ,Droopy,发困,
物品命名（欧莉卡）,ド・スカリーチョ,Super Easystrike,极·擦肩而过,
物品命名（欧莉卡）,ル・マモレーニョ,L'Guardnone,真·防不住哟,
物品命名（欧莉卡）,大トロ,Escargot,大发困,
物品命名（欧莉卡）,痺れマシン,Numbness Machine,麻痹机,
物品命名（欧莉卡）,瞬殺笛,Instant Kill Flute,瞬杀笛,
物品命名（欧莉卡）,ＭＰ超回復機,Super MP Restorer,MP超回复机,
物品命名（欧莉卡）,ハーモガンガン,Harmo Booster,谐调增幅器,
物品命名（欧莉卡）,冥土蘇生ボックス,Underworld Revival Box,黄泉复生盒,
物品命名（欧莉卡）,ドッコイパヘ,Dokkoi Parfait,超赞芭菲,
物品命名（欧莉卡）,超自然アイス,Supernatural Ice,超自然刨冰,
物品命名（欧莉卡）,焼肉ソーダ,BBQ Soda,烤肉苏打水,
物品命名（欧莉卡）,元気になる槍,Vitalizing Spear,精神之矛,
物品命名（欧莉卡）,クルクルズバズバ,Revolvy Straightly,转圈圈一针见血,
物品命名（欧莉卡）,特盛りソード,Extra Large Sword,特大份剑,
物品命名（欧莉卡）,ビミョンフェルノ,Suspiferno,微妙烈焰,
物品命名（欧莉卡）,ヴイヴイソウ,Beep-Beep-Like,嗡嗡锯,
物品命名（欧莉卡）,ピカピカの剣！,Glittering Sword!,闪光剑！,
物品命名（欧莉卡）,スーパー大盛り槍,Super Large Spear,超级大份的矛,
物品命名（欧莉卡）,サメーン,sameen,萨敏,
物品命名（欧莉卡）,頑張れジャック！,"Good luck, Jack!",加油杰克！,
物品命名（欧莉卡）,レーヴァキラー,Revakiller,蕾瓦杀手,
物品命名（欧莉卡）,歌謡ショーの鎧,Song Show Armor,歌谣表演之铠,
物品命名（欧莉卡）,エレミアンスーツ,Elemian Suit,埃雷米亚西装,
物品命名（欧莉卡）,具だくさんジャケ,Packed Jacket,不惜工本外套,
物品命名（欧莉卡）,チャンバラスーツ,Swordfight Suit,打斗西装,
物品命名（欧莉卡）,オヤジパンツ,Old Man Panties,老头内裤,
物品命名（欧莉卡）,暑苦しいＴシャツ,Sultry T-Shirt,热烘烘T恤,
物品命名（欧莉卡）,ヒゲアーマー,Moustachioed Armor,胡子铠甲,
物品命名（欧莉卡）,ちょんまげスーツ,Topknot Suit,发髻西装,
物品命名（欧莉卡）,バリアリング,Barrier Ring,屏障指环,
物品命名（欧莉卡）,ハッスルリング,Hustle Ring,催促指环,
物品命名（欧莉卡）,お姑さんの首飾り,Mother-In-Law's Necklace,姑姑的项链,
物品命名（欧莉卡）,小姑さんの指輪,ー,小姨女士的戒指,
物品命名（欧莉卡）,氷の瞳ミニ,Mini Frozen Eye,迷你冰之瞳,
物品命名（欧莉卡）,一撃即倒連発機,Consecutive One Hit-Kill Machine,一击必杀连发机,
物品命名（欧莉卡）,デァロォンリング,Dealloon Ring,迪隆指环,
物品命名（欧莉卡）,スモキンカゴーン,Smokin' Cageen,吸烟笼子,
物品命名（欧莉卡）,天国と地獄の灯火,Light of Heaven & Hell,天国和地狱的灯火,
物品命名（欧莉卡）,猫どんぶり,,猫碗,
物品命名（弥纱）,ネジキング,Screw King,螺丝之王,
物品命名（弥纱）,フレイムダンス,Flamedance,焰舞,
物品命名（弥纱）,ピカリーノ,Shinyroo,抛光粉,
物品命名（弥纱）,人工生成の綿,Artificially-Produced Cotton,合成绵,
物品命名（弥纱）,雑巾,Dust Cloth,抹布,
物品命名（弥纱）,エンジェルヒール,Angel Heal,天使治愈,
物品命名（弥纱）,ヴィーナスヒール,Venus Heal,维纳斯治愈,
物品命名（弥纱）,桃源回復砲,"Paradisaical
Recovery
Cannon",桃源恢复炮,
物品命名（弥纱）,エリクシールボム,Elixir Bomb,灵药炸弹,
物品命名（弥纱）,レジェンドライザ,Legend Raiser,传奇再起,
物品命名（弥纱）,エレキテルクルス,Electric Cruz,电击十字架,
物品命名（弥纱）,フランソワ・アン,Francois Ann,弗朗索瓦·安,
物品命名（弥纱）,エクソプリーズ,Exobreeze,外息,
物品命名（弥纱）,ボルティックラヴ,,瓶装之爱,
物品命名（弥纱）,メルティアスキル,Meltiaskill,梅尔提亚技巧,
物品命名（弥纱）,トコトコ,Tock-Tock,咚咚,
物品命名（弥纱）,ヒュムネアクセラ,Hymmne Accelle,休姆涅加速器,
物品命名（弥纱）,魔剣そらしの水,Evil Sword-Avoiding Water,避魔剑水,
物品命名（弥纱）,守神隠しの水,Guardian-Abducting Water,守神隐水,
物品命名（弥纱）,亀化けの水,Turtlifying Water,龟速水,
物品命名（弥纱）,閻魔王そらしの水,Underworld King-Evading Water,避阎魔王水,
物品命名（弥纱）,八百万神隠しの水,Myriad Gods' Spiriting Away Water,八百万神隐水,
物品命名（弥纱）,石打ちの化け水,Erosion Transformer,石雕化水,
物品命名（弥纱）,パラズィポット,Parazy Pot,麻痹壶,
物品命名（弥纱）,デモンズパイプ,Demon's Pipe,恶魔风管,
物品命名（弥纱）,コスモヒーラー,Cosmohealer,精神治愈者,
物品命名（弥纱）,エクセレンハーモ,Excellenharmo,究极谐调,
物品命名（弥纱）,ミレニアムヒール,Millennium Heal,千禧年之愈,
物品命名（弥纱）,大自然アイス,Natural Ice,大自然刨冰,
物品命名（弥纱）,カプリソーダ,Capri Soda,卡普里苏打水,
物品命名（弥纱）,グロテスク歯車,Grotesque Gear,血腥齿轮,
物品命名（弥纱）,イオンブレード,Ion Blade,彩音之剑,
物品命名（弥纱）,謳い手の守り,Protector of the Singer,歌者的守护者,
物品命名（弥纱）,夜呂死苦！,Nocturnal Agony!,请多关照！,
物品命名（弥纱）,カナデ,Kanade,奏,
物品命名（弥纱）,ハイエンドサタン,High-End Satan,高端撒旦,
物品命名（弥纱）,ジャロイ,Jarmor,外甲,
物品命名（弥纱）,男一匹極悪非道,Atrocity of an Exemplary Man,男一匹极恶非道,
物品命名（弥纱）,メンズネグリジェ,Men's Negligee,男用女式晨衣,
物品命名（弥纱）,ムンムンシャツ,Stuffy Shirt,闷衫,
物品命名（弥纱）,ブシドール,Bushi-Dor,武士玩偶,
物品命名（弥纱）,エアメタルリング,Airmetal Ring,空气金属指环,
物品命名（弥纱）,ゴッデスリンク,Goddess Ring,女神指环,
物品命名（弥纱）,スタージュエリス,Star Jewels,星辰宝石,
物品命名（弥纱）,ミシャへ愛の指輪,ー,给弥纱爱的指环,
物品命名（弥纱）,アーデルジュエリ,Ardel Jewelry,阿戴尔宝石,
物品命名（弥纱）,デモンズブースター,Demon's Booster,魔鬼加速器,
物品命名（弥纱）,猛毒破砕輪,Poison Crusher Ring,猛毒破碎轮,
物品命名（弥纱）,ミストクルス,Mistcules,迷雾十字,
物品命名（弥纱）,フォトンクロニカ,Photon Chronica,慢性光子,
物品命名（修蕾莉亚）,αフェロン快癒剤,α-Ferron Restorative,α菲龙速愈剂,
物品命名（修蕾莉亚）,βレノン特滋養剤,"β-Lenon Special 
Nutritional Supplement",β列侬特滋养剂,
物品命名（修蕾莉亚）,Ｒ３２気化回復剤,"R32 Vaporized
Recovery Medicine",R32气化恢复剂,
物品命名（修蕾莉亚）,ＰＡＣ拡散気化薬,PAC Diffusion Vaporized Medicine,PAC扩散气化药,
物品命名（修蕾莉亚）,ＴＲ即効性解毒剤,TR Instant-Effect Antidote,TR速效解毒剂,
物品命名（修蕾莉亚）,ライフトロン,Lifetron,生命管,
物品命名（修蕾莉亚）,レディル巡航爆弾,Redir Cruise Explosive,雷迪尔巡航导弹,
物品命名（修蕾莉亚）,ＣＣＰ風圧制御弾,CCP Air Pressure Control Bomb,CCP风压控制弹,
物品命名（修蕾莉亚）,二相式導力電池,,双相导力电池,
物品命名（修蕾莉亚）,Ⅱ式汎用拡散弾,Type II General Diffusion Bomb,Ⅱ式通用扩散弹,
物品命名（修蕾莉亚）,デュアルハーモ,Dual-Harmo,双谐,
物品命名（修蕾莉亚）,フラン幻覚液Ⅰ属,Type I Flan Hallucinogen,呋喃致幻液Ⅰ型,
物品命名（修蕾莉亚）,ジル系緩筋剤Ⅰ属,Type I Jill-Class Muscular Relaxant,吉尔类肌松剂Ⅰ型,
物品命名（修蕾莉亚）,ＳＲＳ弱体剤Ⅰ属,SRS Body Weakener Type I,SRS弱体剂Ⅰ型,
物品命名（修蕾莉亚）,フラン幻覚液Ⅱ属,Type II Flan Hallucinogen,呋喃致幻液Ⅱ型,
物品命名（修蕾莉亚）,ジル系緩筋剤Ⅱ属,Type II Jill-Class Muscular Relaxant,吉尔类肌松剂Ⅱ型,
物品命名（修蕾莉亚）,ＳＲＳ弱体剤Ⅱ属,SRS Body Weakener Type Ⅱ,SRS弱体剂Ⅱ型,
物品命名（修蕾莉亚）,微弱蓄導液,Weak Dynamic-Gathering Solution,微弱蓄导液,
